Name,Address,State,City,Phone,Email,PPN
Kp Institute Of Medical Sciences,Near St. JohnS College  Bagh Muzaffar Khan Road,Uttar Pradesh,Agra,8791143560,CASHLESS@KPIMS.IN,No
Lotus Super Speciality Hospital,Vinayakmall  Diwani Crossing  M. G Road,Uttar Pradesh,Agra,562-4057365 / 4064945,tpadeskoflotusagra@gmail.com,No
Navdeep Hospital And Research Centre,65  Saket Colony  Shah Ganj   Agra,Uttar Pradesh,Agra,2212727,NAVDEEPHOSPITALAGRA@GMAIL.COM,No
Netra Bhawan ( A Unit Of Laser Sight India Pvt. Ltd.),215 Manas Nagar Bodla Road Shahganj Agra,Uttar Pradesh,Agra,6399883344,NETRABHAWAN@GMAIL.COM,No
Nidhi Eye And Multispeciality Hospital,19F/52/1  JANTA COLONY  SHAHGANJ  AGRA  ,Uttar Pradesh,Agra,4301773,nidhieyehospital@gmail.com,No
Peoples Heritage Hospital Limited,7/52 A Jawahar Nagar   By Pass Road,Uttar Pradesh,Agra,0562 - 2526999 / 3249696,hospital.heritage@gmail.com,No
Polaris Neurosciences Hospital (A Unit Of Sharma Nursing Home),I-12  Lawyers Colony  Byepass Road  Agra  (U.P.) - 282005,Uttar Pradesh,Agra,0,POLARISNEUROSCIENCESAGRA@GMAIL.COM,No
Prabha Hospital And Trauma Centre,672  GEETA MANDIR  MATHURA  BYE PASS ROAD  SIKANDRA,Uttar Pradesh,Agra,9012516000,tpa.prabhahospital@gmail.com,No
Purshottamdas Savitridevi Cancer Care And Research Centre,605 NEERAV NIKUNJ BETWEEN SIKANDRA-GURUDWARA GURU KA TAAL,Uttar Pradesh,Agra,9395815531,pscrc@rediffmail.com,No
Pushpanjali Hospital And Research Centre,Pushpanjali Palace   Delhi Gate   Agra,Uttar Pradesh,Agra,5624024000,VED@PUSHPANJALIHOSPITAL.IN,No
Ram Tej Hospital,Vibhav Nagar Road Near Amar Hotel Agra Agra  Uttar Pradesh,Uttar Pradesh,Agra,9837023595,TPA@RAMTEJHOSPITAL.COM,No
Ramved Hospital,A-16 New Agra,Uttar Pradesh,Agra,7455003391,RAMVEDHOSPITALAGRA@GMAIL.COM,No
Rashmi Medicare Centre,331  Shri Nath Puram Maharaja Agresen Marg (Mughal Road) Kamla Nagar,Uttar Pradesh,Agra,9389069232,TPARASHMIMEDICARE@GMAIL.COM,No
Ravi Hospital,1/55  Delhi Gate Agra,Uttar Pradesh,Agra,9756625668,ravihospitalagra@yahoo.co.in,No
S R Medical Institute And Research Centre,LAURIES COMPLEX  NAMNER ROAD  SAI KA TAKIA  AGRA,Uttar Pradesh,Agra,4301222,SRHOSPITAL98@GMAIL.COM,No
S S Hospital,HARIPARWAT NEAR PETROL PUMP AGRA,Uttar Pradesh,Agra,2527070,,No
Saket Hospital,Plot No.4 Saket Colony Shahganj Agra,Uttar Pradesh,Agra,4003666,SAKETHOSPITALAGRA@GMAIL.COM,No
Sarthak Nursing Home,G-23 Kamla Nagar Byepass Road Near Langde Ki Chowki  Agra  Uttar Pradesh-282005,Uttar Pradesh,Agra,9837067939,SARTHAKNURSINGHOME@GMAIL.COM,No
Sp Hospital,47/202/43 44 45 Hanuman Nagar ,Uttar Pradesh,Agra,7895608834,SPHOSPITALAGRA@GMAIL.COM,No
Upadhaya Hospital,Shahid Nagar Crossing  Agra,Uttar Pradesh,Agra,0562 - 2230311 / 2230344 / 22302285,UPADHYAYHOSPITAL@GMAIL.COM,No
Vohra Hospitals Private Ltd,#4  Laxman Nagar  Kheria Road  Near Arjun Nagar  Agra,Uttar Pradesh,Agra,5622303221,VOHRAHOSPITALAGRA@GMAIL.COM,No
Wims Hospital,old Ram Raghu Hospital,Uttar Pradesh,Agra,9999999999,TPA@WIMSAGRA.IN,No
